sequence_id,view_id,amass_npz,subject_range,subject_lateral,radar_height,native_frames,mocap_rate_hz,duration_s,estimated_windows
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_6,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_6_stageii.npz,4.0,0.0,1.0,541,120.0,4.5,8
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_7,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_7_stageii.npz,4.0,0.0,1.0,1957,120.0,16.3,31
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_8,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_8_stageii.npz,4.0,0.0,1.0,381,120.0,3.1666666666666665,5
view0__BMLmovi__Subject_12_F_MoSh__Subject_12_F_9,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_12_F_MoSh/Subject_12_F_9_stageii.npz,4.0,0.0,1.0,561,120.0,4.666666666666667,8
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_10,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_10_stageii.npz,4.0,0.0,1.0,521,120.0,4.333333333333333,7
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_11,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_11_stageii.npz,4.0,0.0,1.0,653,120.0,5.433333333333334,9
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_12,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_12_stageii.npz,4.0,0.0,1.0,1509,120.0,12.566666666666666,24
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_13,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_13_stageii.npz,4.0,0.0,1.0,645,120.0,5.366666666666666,9
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_14,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_14_stageii.npz,4.0,0.0,1.0,445,120.0,3.7,6
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_15,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_15_stageii.npz,4.0,0.0,1.0,433,120.0,3.6,6
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_16,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_16_stageii.npz,4.0,0.0,1.0,673,120.0,5.6,10
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_17,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_17_stageii.npz,4.0,0.0,1.0,529,120.0,4.4,7
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_18,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_18_stageii.npz,4.0,0.0,1.0,525,120.0,4.366666666666666,7
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_19,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_19_stageii.npz,4.0,0.0,1.0,565,120.0,4.7,8
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_1,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_1_stageii.npz,4.0,0.0,1.0,809,120.0,6.733333333333333,12
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_20,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_20_stageii.npz,4.0,0.0,1.0,489,120.0,4.066666666666666,7
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_21,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_21_stageii.npz,4.0,0.0,1.0,797,120.0,6.633333333333334,12
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_2,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_2_stageii.npz,4.0,0.0,1.0,1397,120.0,11.633333333333333,22
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_3,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_3_stageii.npz,4.0,0.0,1.0,1097,120.0,9.133333333333333,17
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_4,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_4_stageii.npz,4.0,0.0,1.0,825,120.0,6.866666666666666,12
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_5,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_5_stageii.npz,4.0,0.0,1.0,965,120.0,8.033333333333333,15
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_6,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_6_stageii.npz,4.0,0.0,1.0,553,120.0,4.6,8
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_7,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_7_stageii.npz,4.0,0.0,1.0,693,120.0,5.766666666666667,10
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_8,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_8_stageii.npz,4.0,0.0,1.0,737,120.0,6.133333333333334,11
view0__BMLmovi__Subject_13_F_MoSh__Subject_13_F_9,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_13_F_MoSh/Subject_13_F_9_stageii.npz,4.0,0.0,1.0,913,120.0,7.6,14
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_10,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_10_stageii.npz,4.0,0.0,1.0,1193,120.0,9.933333333333334,18
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_11,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_11_stageii.npz,4.0,0.0,1.0,1053,120.0,8.766666666666667,16
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_12,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_12_stageii.npz,4.0,0.0,1.0,1501,120.0,12.5,24
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_13,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_13_stageii.npz,4.0,0.0,1.0,469,120.0,3.9,6
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_14,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_14_stageii.npz,4.0,0.0,1.0,537,120.0,4.466666666666667,7
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_15,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_15_stageii.npz,4.0,0.0,1.0,469,120.0,3.9,6
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_16,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_16_stageii.npz,4.0,0.0,1.0,397,120.0,3.3,5
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_17,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_17_stageii.npz,4.0,0.0,1.0,421,120.0,3.5,6
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_18,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_18_stageii.npz,4.0,0.0,1.0,389,120.0,3.2333333333333334,5
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_19,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_19_stageii.npz,4.0,0.0,1.0,529,120.0,4.4,7
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_1,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_1_stageii.npz,4.0,0.0,1.0,393,120.0,3.2666666666666666,5
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_20,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_20_stageii.npz,4.0,0.0,1.0,613,120.0,5.1,9
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_21,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_21_stageii.npz,4.0,0.0,1.0,1201,120.0,10.0,19
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_2,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_2_stageii.npz,4.0,0.0,1.0,373,120.0,3.1,5
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_3,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_3_stageii.npz,4.0,0.0,1.0,389,120.0,3.2333333333333334,5
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_4,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_4_stageii.npz,4.0,0.0,1.0,453,120.0,3.7666666666666666,6
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_5,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_5_stageii.npz,4.0,0.0,1.0,885,120.0,7.366666666666666,13
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_6,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_6_stageii.npz,4.0,0.0,1.0,349,120.0,2.9,4
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_7,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_7_stageii.npz,4.0,0.0,1.0,393,120.0,3.2666666666666666,5
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_8,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_8_stageii.npz,4.0,0.0,1.0,245,120.0,2.033333333333333,3
view0__BMLmovi__Subject_14_F_MoSh__Subject_14_F_9,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_14_F_MoSh/Subject_14_F_9_stageii.npz,4.0,0.0,1.0,733,120.0,6.1,11
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_10,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_10_stageii.npz,4.0,0.0,1.0,501,120.0,4.166666666666667,7
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_11,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_11_stageii.npz,4.0,0.0,1.0,921,120.0,7.666666666666667,14
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_12,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_12_stageii.npz,4.0,0.0,1.0,869,120.0,7.233333333333333,13
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_13,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_13_stageii.npz,4.0,0.0,1.0,429,120.0,3.566666666666667,6
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_14,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_14_stageii.npz,4.0,0.0,1.0,961,120.0,8.0,15
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_15,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_15_stageii.npz,4.0,0.0,1.0,881,120.0,7.333333333333333,13
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_16,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_16_stageii.npz,4.0,0.0,1.0,1085,120.0,9.033333333333333,17
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_17,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_17_stageii.npz,4.0,0.0,1.0,549,120.0,4.566666666666666,8
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_18,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_18_stageii.npz,4.0,0.0,1.0,353,120.0,2.933333333333333,4
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_19,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_19_stageii.npz,4.0,0.0,1.0,521,120.0,4.333333333333333,7
view0__BMLmovi__Subject_15_F_MoSh__Subject_15_F_1,view0,/bigdata/users/quansj/datasets/Doppler/wilddoppler/legacy/datasets/AMASS_SMPLX_2022/BMLmovi/Subject_15_F_MoSh/Subject_15_F_1_stageii.npz,4.0,0.0,1.0,881,120.0,7.333333333333333,13
